bprl	abporal
hprcrmtc	hipercromàtic
hprcrmtc	hipercromàtica
hprcrmtcs	hipercromàtics
hprcrmtqs	hipercromàtiques
hprdnm	hiperdinàmia
hprdnms	hiperdinàmies
hprxplx	hiperexplexia
hprxplxs	hiperexplexies
hprfsftr	hiperfosfatúria
hprfsftrs	hiperfosfatúries
hprggntsm	hipergigantosomia
hprggntsms	hipergigantosomies
hprhdrtc	hiperhidratació
hprhdrtcns	hiperhidratacions
hprnslnm	hiperinsulinèmia
hprnslnms	hiperinsulinèmies
hprmtmrfs	hipermetamorfosi
hprmtmrfss	hipermetamorfosis
hprmtr	hipermetria
hprmtrs	hipermetries
hprmtltt	hipermotilitat
hprmtltts	hipermotilitats
hprpt	hiperpatia
hprpts	hiperpaties
hprpgmntc	hiperpigmentació
hprpgmntcns	hiperpigmentacions
hprplrtzc	hiperpolarització
hprplrtzcns	hiperpolaritzacions
hprptssmc	hiperpotassèmic
hprptssmc	hiperpotassèmica
hprptssmcs	hiperpotassèmics
hprptssmqs	hiperpotassèmiques
hprprlctnm	hiperprolactinèmia
hprprlctnms	hiperprolactinèmies
hprsgmntc	hipersegmentació
hprsgmntcns	hipersegmentacions
hprtns	hipertensiu
hprtnss	hipertensius
hprtnsv	hipertensiva
hprtnsvs	hipertensives
hprtrclglcrdm	hipertriacilgliceridèmia
hprtrclglcrdms	hipertriacilgliceridèmies
hprtrglcrdm	hipertrigliceridèmia
hprtrglcrdms	hipertrigliceridèmies
hpsm	hipoòsmia
hpsms	hipoòsmies
hplbmnm	hipoalbuminèmia
hplbmnms	hipoalbuminèmies
hpccldl	hipocicloidal
hpccldls	hipocicloidals
hpcrmc	hipocròmic
hpcrmc	hipocròmica
hpcrmcs	hipocròmics
hpcrmqs	hipocròmiques
hpdnm	hipodinàmia
hpdnms	hipodinàmies
hpsts	hipoestèsia
hpstss	hipoestèsies
hpfns	hipofonesi
hpfnss	hipofonesis
hpfrntltt	hipofrontalitat
hpfrntltts	hipofrontalitats
hpgndsm	hipogonadisme
hpgndsms	hipogonadismes
hpgndtrfc	hipogonadotròfic
hpgndtrfc	hipogonadotròfica
hpgndtrfcs	hipogonadotròfics
hpgndtrfqs	hipogonadotròfiques
hpmn	hipomania
hpmns	hipomanies
hppn	hipopnea
hppns	hipopnees
hpptssm	hipopotassèmia
hpptssms	hipopotassèmies
hpprtïnm	hipoproteïnèmia
hpprtïnms	hipoproteïnèmies
hpptlsm	hipoptialisme
hpptlsm	hipoptialisme
hpptlsms	hipoptialismes
hpptlsms	hipoptialismes
hprflx	hiporeflèxia
hprflxs	hiporeflèxies
hpslvc	hiposalivació
hpslvcns	hiposalivacions
hpsl	hiposiàlia
hpsls	hiposiàlies
hpsls	hiposialosi
hpslss	hiposialosis
hpvlm	hipovolèmia
hpvlmc	hipovolèmic
hpvlmc	hipovolèmica
hpvlmcs	hipovolèmics
hpvlms	hipovolèmies
hpvlmqs	hipovolèmiques
hpxm	hipoxèmia
hpxms	hipoxèmies
hstrctm	histeroctomia
hstrctms	histeroctomies
hstrslpnggrf	histerosalpingografia
hstrslpnggrfs	histerosalpingografies
hstrscp	histeroscòpia
hstrscps	histeroscòpies
hstptlg	histopatologia
hstptlgs	histopatologies
hstrcpnl	historicopenal
hstrcpnls	historicopenals
hstsl	histosol
hstsls	histosols
hdlg	hodologia
hdlgs	hodologies
hldstlc	holodiastòlic
hldstlc	holodiastòlica
hldstlcs	holodiastòlics
hldstlqs	holodiastòliques
hlfrs	holofrase
hlfrss	holofrases
hlprsncfl	holoprosencefàlia
hlprsncfls	holoprosencefàlies
hlrqsqs	holoraquísquisi
hlrqsqss	holoraquísquisis
hlsstlc	holosistòlic
hlsstlc	holosistòlica
hlsstlcs	holosistòlics
hlsstlqs	holosistòliques
hmspr	homòspora
hmsprs	homòspores
hmtmc	homoatòmic
hmtmc	homoatòmica
hmtmcs	homoatòmics
hmtmqs	homoatòmiques
hmbrcd	homobrocada
hmbrcds	homobrocades
hmbrct	homobrocat
hmbrcts	homobrocats
hmdmr	homodímer
hmdmrs	homodímers
hmtl·lc	homotàl·lic
hmtl·lc	homotàl·lica
hmtl·lcs	homotàl·lics
hmtl·lqs	homotàl·liques
hsky	husky
hskys	huskys
ctmrf	ictiomorf
ctmrf	ictiomorfa
ctmrfs	ictiomorfes
ctmrfs	ictiomorfs
dcntc	ideocinètic
dcntc	ideocinètica
dcntcs	ideocinètics
dcntqs	ideocinètiques
dmtr	ideomotor
dmtr	ideomotora
dmtrs	ideomotores
dmtrs	ideomotors
fsfmd	ifosfamida
fsfmds	ifosfamides
lhpgstrc	iliohipogàstric
lhpgstrc	iliohipogàstrica
lhpgstrcs	iliohipogàstrics
lhpgstrqs	iliohipogàstriques
lngnl	ilioinguinal
lngnls	ilioinguinals
mmngnctt	immunogenicitat
mmngnctts	immunogenicitats
mmnhstqmc	immunohistoquímic
mmnhstqmc	immunohistoquímica
mmnhstqmcs	immunohistoquímics
mmnhstqmqs	immunohistoquímiques
ndms	inadmès
ndms	inadmesa
ndmss	inadmeses
ndmss	inadmesos
ndmss	inadmissió
ndmssns	inadmissions
nprtrd	inaperturada
nprtrds	inaperturades
nprtrt	inaperturat
nprtrts	inaperturats
ncptsl	inceptisol
ncptsls	inceptisols
ncptr	incipitari
ncptrs	incipitaris
ncrtn	incretina
ncrtns	incretines
ndrbc	indoaràbic
ndrbcs	indoaràbics
ndrbg	indoaràbiga
ndrbgs	indoaràbigues
ndxl	indoxil
ndxls	indoxils
nflt	inflató
nfltns	inflatons
nfrdr	infradiària
nfrdrs	infradiàries
nfrdr	infradiari
nfrdrs	infradiaris
nfrtctd	infratectada
nfrtctds	infratectades
nfrtctt	infratectat
nfrtctts	infratectats
ndn	inidònia
ndns	inidònies
ndns	inidonis
nncssrtt	innecessarietat
nncssrtts	innecessarietats
nsstnbltt	insostenibilitat
nsstnbltts	insostenibilitats
nsld	insulada
nslds	insulades
nslt	insulat
nslts	insulats
nslnrsstnc	insulinoresistència
nslnrsstncs	insulinoresistències
ntrblb	interblob
ntrblbs	interblobs
ntrfrgrm	interferograma
ntrfrgrms	interferogrames
ntrrrqd	intrarraquídia
ntrrrqds	intrarraquídies
ntrrrqd	intrarraquidi
ntrrrqds	intrarraquidis
rqt	iraquita
rqts	iraquites
sspn	isoespín
sspns	isoespins
sfrqünc	isofreqüència
sfrqüncs	isofreqüències
splns	isopalines
splrtt	isopolaritat
splrtts	isopolaritats
sptncl	isopotencial
sptncls	isopotencials
ssncts	isosinactes
stcfrs	isotacoforesi
stcfrss	isotacoforesis
sxzl	isoxazol
sxzls	isoxazols
tlss	italosuís
tlsïss	italosuïssa
tlsïsss	italosuïsses
tlsïsss	italosuïssos
tb	itb
tbqb	itbquebe
tbmlmlt	itbmolamolt
tbtbtb	itbitbitb
tbct	itbcat
trlt	itrialita
trlts	itrialites
trbtft	itrobetafita
trbtfts	itrobetafites
trclmbt	itrocolumbita
trclmbts	itrocolumbites
trcrst	itrocrasita
trcrsts	itrocrasites
trprclr	itropiroclor
trprclrs	itropiroclors
trtngstt	itrotungstita
trtngstts	itrotungstites
jhnst	jahnsita
jhnsts	jahnsites
jqnt	joaquinita
jqnts	joaquinites
jcflrlsc	jocfloralesc
jcflrlsc	jocfloralesca
jcflrlscs	jocfloralescos
jcflrlscs	jocfloralescs
jcflrlsqs	jocfloralesques
jsït	joseïta
jsïts	joseïtes
jdcltt	judicialitat
jdcltts	judicialitats
jlgldt	julgoldita
jlgldts	julgoldites
kmtït	kamotoïta
kmtïts	kamotoïtes
kmphgt	kamphaugita
kmphgts	kamphaugites
kn	kan
kns	kans
krnssrtt	karnassurtita
krnssrtts	karnassurtites
kvït	keiviïta
kvïts	keiviïtes
khrstvt	khristovita
khrstvts	khristovites
kmrït	kimuraïta
kmrïts	kimuraïtes
krlsn	kirieleison
krlsns	kirieleisons
kkhrnkït	kukharenkoïta
kkhrnkïts	kukharenkoïtes
klkt	kuliokita
klkts	kuliokites
lctlbmn	lactoalbúmina
lctlbmns	lactoalbúmines
lctgns	lactogènesi
lctgnss	lactogènesis
lcl	laical
lcls	laicals
lntnt	lantanita
lntnts	lantanites
lplndt	laplandita
lplndts	laplandites
lbrks	leberkies
lprsnnt	lepersonnita
lprsnnts	lepersonnites
lptd	leptoide
lptds	leptoides
lptrr	leptorrí
lptrrn	leptorrina
lptrrns	leptorrines
lptrrns	leptorrins
lcdstrf	leucodistròfia
lcdstrfs	leucodistròfies
lmfrrd	limforroide
lmfrrds	limforroides
ltsttc	litoestàtic
ltsttc	litoestàtica
ltsttcs	litoestàtics
ltsttqs	litoestàtiques
ltstrtgrfc	litoestratigràfic
ltstrtgrfc	litoestratigràfica
ltstrtgrfcs	litoestratigràfics
ltstrtgrfqs	litoestratigràfiques
ltstrtgrf	litoestratigrafia
ltstrtgrfs	litoestratigrafies
llcs	llicsó
llcsns	llicsons
lddsm	luddisme
lddsms	luddismes
mgntsttc	magnetoestàtic
mgntsttc	magnetoestàtica
mgntsttcs	magnetoestàtics
mgntsttqs	magnetoestàtiques
mgntstrtgrf	magnetoestratigrafia
mgntstrtgrfs	magnetoestratigrafies
mhrj	maharajà
mhrjs	maharajàs
mhrn	maharaní
mhrns	maharanís
mnsttc	manostàtic
mnsttc	manostàtica
mnsttcs	manostàtics
mnsttqs	manostàtiques
mntnnït	mantienneïta
mntnnïts	mantienneïtes
mrdd	marededeu
mrdds	marededeus
msslcrtj	massalcoretjà
msslcrtjn	massalcoretjana
msslcrtjns	massalcoretjanes
msslcrtjns	massalcoretjans
mstdl	mastoidal
mstdls	mastoidals
mtdgll	matadegolla
mtrxc	matrioixca
mtrxqs	matrioixques
mnysstm	menysestimà
mnysstmrm	menysestimàrem
mnysstmr	menysestimàreu
mnysstmvm	menysestimàvem
mnysstmv	menysestimàveu
mnysstms	menysestimés
mnysstmssm	menysestiméssim
mnysstmss	menysestiméssiu
mnysstm	menysestimí
mnysstm	menysestima
mnysstmr	menysestimarà
mnysstmrs	menysestimaràs
mnysstmr	menysestimaré
mnysstmrm	menysestimaríem
mnysstmr	menysestimaríeu
mnysstmr	menysestimar
mnysstmrn	menysestimaran
mnysstmrm	menysestimarem
mnysstmrn	menysestimaren
mnysstmrs	menysestimares
mnysstmr	menysestimareu
mnysstmr	menysestimaria
mnysstmrn	menysestimarien
mnysstmrs	menysestimaries
mnysstmt	menysestimat
mnysstmts	menysestimats
mnysstmv	menysestimava
mnysstmvn	menysestimaven
mnysstmvs	menysestimaves
mnysstmm	menysestimem
mnysstmn	menysestimen
mnysstms	menysestimes
mnysstmssn	menysestimessin
mnysstmsss	menysestimessis
mnysstm	menysestimeu
mnysstm	menysestimi
mnysstms	menysestimis
mnysstm	menysestimo
msgstrpd	mesogasteròpode
msgstrpds	mesogasteròpodes
msrrn	mesorrínia
msrrns	mesorrínies
mtstbl	metaestable
mtstbls	metaestables
mtrrdpsn	metarrodopsina
mtrrdpsns	metarrodopsines
mtz	metozou
mtzs	metozous
mcsqst	micaesquist
mcsqsts	micaesquistos
mcsqsts	micaesquists
mcrrz	micorrizà
mcrrzrm	micorrizàrem
mcrrzr	micorrizàreu
mcrrzvm	micorrizàvem
mcrrzv	micorrizàveu
mcrrzs	micorrizés
mcrrzssm	micorrizéssim
mcrrzss	micorrizéssiu
mcrrz	micorrizí
mcrrzgns	micorrizògens
mcrrz	micorriza
mcrrzc	micorrizació
mcrrzcns	micorrizacions
mcrrzd	micorrizada
mcrrzds	micorrizades
mcrrznt	micorrizant
mcrrzr	micorrizarà
mcrrzrs	micorrizaràs
mcrrzr	micorrizaré
mcrrzrm	micorrizaríem
mcrrzr	micorrizaríeu
mcrrzr	micorrizar
mcrrzrn	micorrizaran
mcrrzrm	micorrizarem
mcrrzrn	micorrizaren
mcrrzrs	micorrizares
mcrrzr	micorrizareu
mcrrzr	micorrizaria
mcrrzrn	micorrizarien
mcrrzrs	micorrizaries
mcrrzt	micorrizat
mcrrzts	micorrizats
mcrrzv	micorrizava
mcrrzvn	micorrizaven
mcrrzvs	micorrizaves
mcrrzm	micorrizem
mcrrzn	micorrizen
mcrrzs	micorrizes
mcrrzssn	micorrizessin
mcrrzsss	micorrizessis
mcrrz	micorrizeu
mcrrz	micorrizi
mcrrzs	micorrizis
mcrrz	micorrizo
mcrrzgn	micorrizogen
mcrlct	microlecte
mcrlcts	microlectes
mcrtpnm	microtoponímia
mcrtpnms	microtoponímies
mrrx	miorrexi
mrrxs	miorrexis
mqlnglsc	miquelangelesc
mqlnglsc	miquelangelesca
mqlnglscs	miquelangelescos
mqlnglscs	miquelangelescs
mqlnglsqs	miquelangelesques
mltjr	molitjaire
mltjrs	molitjaires
mnstbl	monoestable
mnstbls	monoestables
mnrïl	monoraïl
mnrïl	monoraïl
mnrïls	monoraïls
mnrïls	monoraïls
mrtntltt	mortinatalitat
mrtntltts	mortinatalitats
mscrd	moscardí
mscrdns	moscardins
mcsts	mucositis
mltps	multipàs
npbfs	napbufs
nmtrrnc	nematorrinc
nmtrrncs	nematorrincs
ngstrpd	neogasteròpode
ngstrpds	neogasteròpodes
nrsqlt	neuroesquelet
nrsqlts	neuroesquelets
ntzsch	nietzscheà
ntzschn	nietzscheana
ntzschns	nietzscheanes
ntzschns	nietzscheans
nmbstrt	nimboestrat
nmbstrts	nimboestrats
nqlfrr	niquelferro
nqlfrrs	niquelferros
nssrrnc	nissorrinc
nssrrncs	nissorrincs
ny	nyeu
ncs	oncus
rntrrnc	ornitorrinc
rntrrncs	ornitorrincs
rtsttc	ortostàtic
rtsttc	ortostàtica
rtsttcs	ortostàtics
rtsttqs	ortostàtiques
tblnnrr	otoblennorrea
tblnnrrs	otoblennorrees
tprr	otopiorrea
tprrs	otopiorrees
trrnlrnglg	otorrinolaringòleg
trrnlrnglgs	otorrinolaringòlegs
trrnlrnglg	otorrinolaringòloga
trrnlrnglgs	otorrinolaringòlogues
trrnlrnglgs	otorrinolaringilogies
trrnlrnglg	otorrinolaringologia
trrnlrnglgs	otorrinolaringologies
ttxctt	ototoxicitat
ttxctts	ototoxicitats
bïn	ouabaïna
bïns	ouabaïnes
vdl	ovoidal
vdls	ovoidals
xdmtr	oxidimetria
xdmtrs	oxidimetries
xfsft	oxifosfat
xfsfts	oxifosfats
xrrnc	oxirrinc
xrrncs	oxirrincs
xsl	oxisol
xsls	oxisols
pc	pècia
pcs	pècies
plsl	paleoeslau
plsls	paleoeslaus
plslv	paleoeslava
plslvs	paleoeslaves
plplnlg	paleopalinologia
plplnlg	paleopalinologia
plplnlgs	paleopalinologies
plsl	paleosol
plsls	paleosols
plnps	palinòpsia
plnpss	palinòpsies
plngrf	palinografia
plngrfs	palinografies
plnmrf	palinomorf
plnmrfs	palinomorfs
plntc	palinoteca
plprx	palipràxia
plprxs	palipràxies
pnbs	panabasa
pnbss	panabases
pndstnm	pandisautonomia
pndstnms	pandisautonomies
prbldl	paraboloidal
prbldls	paraboloidals
prmcln	paramioclònia
prmclns	paramioclònies
prnït	paraniïta
prnïts	paraniïtes
prtrdl	paratiroidal
prtrdls	paratiroidals
prst	parisita
prsts	parisites
prtts	parotitis
prttcrc	partitocràcia
prttcrcs	partitocràcies
ptr	pater
ptcrn	patocronia
ptcrns	patocronies
pcr	peciari
pcrs	peciaris
pl·ltdl	pel·letoidal
pl·ltdls	pel·letoidals
pngzhzhngt	pengzhizhongita
pngzhzhngts	pengzhizhongites
pntncrsm	penitenciarisme
pntncrsms	penitenciarismes
pntgnddcdr	pentagonododecaedre
pntgnddcdrs	pentagonododecaedres
pntrxn	pentraxina
pntrxns	pentraxines
prstm	perístoma
prstms	perístomes
prcptvmtr	perceptivomotor
prcptvmtr	perceptivomotora
prcptvmtrs	perceptivomotores
prcptvmtrs	perceptivomotors
prcptvmtr	perceptivomotriu
prcptvmtrs	perceptivomotrius
prstrk	perestroika
prstrks	perestroikes
prdnn	peridinina
prdnns	peridinines
prn	perina
prns	perines
prplst	periplast
prplsts	periplastos
prplsts	periplasts
prmc	permeació
prmcns	permeacions
prsgbltt	perseguibilitat
prsgbltts	perseguibilitats
ptrsnt	petersenita
ptrsnts	petersenites
ptrst	petersita
ptrsts	petersites
ptnkït	piatenkoïta
ptnkïts	piatenkoïtes
plrrz	pilorriza
plrrzs	pilorrizes
pnlct	pinealòcit
pnlcts	pinealòcits
pntngls	pintaungles
pnyn	pinyin
pnyns	pinyins
prgrf	pirografia
prgrfs	pirografies
prgrm	pirograma
prgrms	pirogrames
prsttc	pirostàtic
prsttc	pirostàtica
prsttcs	pirostàtics
prsttqs	pirostàtiques
pltpn	platipnea
pltpns	platipnees
pld	políada
plds	políades
plrgrm	polarograma
plrgrms	polarogrames
plcrlmd	poliacrilamida
plcrlmds	poliacrilamides
plmn	poliamina
plmns	poliamines
plbtd	polibutadiè
plbtdns	polibutadiens
plcrs	policrasa
plcrss	policrases
plcrmdr	policromador
plcrmdrs	policromadors
pltlnglcl	polietileneglicol
pltlnglcls	polietileneglicols
plrrz	polirriza
plrrz	polirrize
plrrzs	polirrizes
plrrzs	polirrizes
pntll	pontilló
pntllns	pontillons
pstclnlsm	postcolonialisme
pstclnlsms	postcolonialismes
pstdlctvtt	postdelictivitat
pstdlctvtts	postdelictivitats
pststrctrlsm	postestructuralisme
pststrctrlsms	postestructuralismes
pstprtr	postooperatòria
pstprtrs	postooperatòries
pstprtr	postooperatori
pstprtrs	postooperatoris
pstptncl	postpotencial
pstptncls	postpotencials
pstrlg	posturologia
pstrlgs	posturologies
ptncstt	potenciòstat
ptncstts	potenciòstats
prxctc	preexcitació
prxctcns	preexcitacions
prgd	pregadeu
prgds	pregadeus
prnplstc	preneoplàstica
prnplstqs	preneoplàstiques
prsssttc	pressostàtic
prsssttc	pressostàtica
prsssttcs	pressostàtics
prsssttqs	pressostàtiques
prctsgmïdts	proctosigmoïditis
psdprs	pseudoporus
qs	quès
qdrnt	quadrinet
qdrnt	quadrineta
qdrnts	quadrinetes
qdrnts	quadrinets
qvr	queviure
qnqrt	quinqueret
qnqrts	quinquerets
rl	rail
rls	rails
rn	raní
rns	ranís
rtbf	ratbuf
rtbfs	ratbufs
rbsnt	rebesnet
rbsnt	rebesneta
rbsnts	rebesnetes
rbsnts	rebesnets
rd	redeu
rgsl	regosol
rgsls	regosols
rmlt	remolta
rmlts	remoltes
rnt	renet
rnt	reneta
rnts	renetes
rnts	renets
rpl	repel
rpls	repels
rlpnc	rialpenc
rlpnc	rialpenca
rlpncs	rialpencs
rlpnqs	rialpenques
rvrst	riverista
rvrsts	riveristes
rdmn	rodamon
rdmns	rodamons
rntgns	roentgens
rmbdl	romboidal
rmbdls	romboidals
sn	sénia
sns	sénies
sq	séquia
sqs	séquies
slpng-tctm	salpingo-ootectomia
slpng-tctms	salpingo-ootectomies
snt-rfl	sant-rafelí
snt-rfln	sant-rafelina
snt-rflns	sant-rafelines
snt-rflns	sant-rafelins
sntclrït	santaclaraïta
sntclrïts	santaclaraïtes
stsm	satsuma
stsms	satsumes
smd	semideu
smds	semideus
snsfn	sensefeina
snspprs	sensepapers
snssstr	sensesostre
sdrsttc	siderostàtic
sdrsttc	siderostàtica
sdrsttcs	siderostàtics
sdrsttqs	siderostàtiques
sgmdl	sigmoidal
sgmdls	sigmoidals
sns	sins
snsdl	sinusoidal
snsdls	sinusoidals
ssmstrtgrf	sismoestratigrafia
ssmstrtgrfs	sismoestratigrafies
sbrprtctr	sobreprotector
sbrprtctr	sobreprotectora
sbrprtctrs	sobreprotectores
sbrprtctrs	sobreprotectors
sbsl	subsol
sbsls	subsols
scmll	sucamulla
scmlls	sucamulles
sprhptc	suprahepàtic
sprhptc	suprahepàtica
sprhptcs	suprahepàtics
sprhptqs	suprahepàtiques
tgzm	tagzim
tgzms	tagzims
ttx	taitxí
ttxs	taitxís
tlcsqst	talcoesquist
tlcsqsts	talcoesquistos
tlcsqsts	talcoesquists
trmstbl	termoestable
trmstbls	termoestables
trmsttc	termostàtic
trmsttc	termostàtica
trmsttcs	termostàtics
trmsttqs	termostàtiques
tfdl	tifoidal
tfdls	tifoidals
trj	tirijà
trjn	tirijana
trjns	tirijanes
trjns	tirijans
trdl	tiroidal
trdls	tiroidals
trdl	toroidal
trdls	toroidals
tttrrny	totterreny
tttrrnys	totterrenys
trpzdl	trapezoidal
trpzdls	trapezoidals
trmns	tremens
trmnsl	trimensual
trmnsls	trimensuals
trg	tuàreg
trgs	tuàregs
tbrclsttc	tuberculostàtic
tbrclsttc	tuberculostàtica
tbrclsttcs	tuberculostàtics
tbrclsttqs	tuberculostàtiques
ttt-frtt	tutti-frutti
ltsl	ultisol
ltsls	ultisols
mb	umbe
mbs	umbes
vcsttc	vacuostàtic
vcsttc	vacuostàtica
vcsttcs	vacuostàtics
vcsttqs	vacuostàtiques
vds	vadós
vds	vadosa
vdss	vadoses
vdss	vadosos
vrrcc	verrucàcia
vrrccs	verrucàcies
vrtsl	vertisol
vrtsls	vertisols
vcnt	vicentí
vcntn	vicentina
vcntns	vicentines
vcntns	vicentins
vkng	viking
vkng	vikinga
vkngs	vikings
vkngs	vikingues
v-vrv	vou-verivou
v-vrvs	vou-verivous
xp--xp	xep-a-xep
xp--xps	xep-a-xeps
xfdl	xifoidal
xfdls	xifoidals
xrcr	xirucaire
xrcrs	xirucaires
zgrt	zigurat
zgrts	zigurats
ztb	zitb
zncrrdcrst	zincorrodocrosita
zncrrdcrsts	zincorrodocrosites
zl	zulú
zls	zulús
